id;power;cordinates;antenna_Location_WGS84_E;antenna_Location_WGS84_N;type;building;streetNumber;street;town;district;state;country;postal
1;Gross;POINT (2558525 1167925);46.66126272782867;6.896737830376537;4G;;55; Route de la Chapelle;Chavannes-Forts;; 1676; Schweiz; 1676
2;Gross;POINT (2648322 1246675);47.36914532275527;8.078377519283967;4G;;64; Bernstrasse West;Suhr;; 5034; Schweiz; 5034
3;Gross;POINT (2503428 1117642);46.20328822425792;6.187436918157782;4G;;2; Avenue des Amazones;Chêne-Bouger Grad;; 1224; Schweiz; 1224
4;Mittel;POINT (2601088 1200806);46.9583321021256;7.452926321577666;4G;;12b; Breitenrainstrasse;Bern;; 3013; Schweiz; 3013
5;Gross;POINT (2567350 1228990);47.2110351707968;7.007644443460084;4G;;21; Grand'Rue;Chaux-des-Breuleux;; 2345; Schweiz; 2345
6;Mittel;POINT (2683770 1251020);47.40466956825127;8.548450635835016;4G;;276; Schaffhauserstrasse;Zürich;; 8057; Schweiz; 8057
7;Gross;POINT (2533170 1173470);46.709078664975735;6.56467095091721;4G;;;Chavornay;Chavornay;; 1373; Schweiz; 1373
8;Gross;POINT (2639748 1232218);47.23968808113957;7.963587754623894;4G;;12; Bruggmatte;Mehlsecken;; 6260; Schweiz; 6260
9;Gross;POINT (2496384 1119697);46.22072263214226;6.0957341093531605;4G;;3; Chemin des Coquelicots;;; 6643; Schweiz; 6643
10;Mittel;POINT (2655718 1271510);47.59191660026886;8.179392965347487;4G;;;Krummackerweg;Leibstadt;; 5325; Schweiz; 5325
11;Mittel;POINT (2688674 1211488);47.04849186405694;8.605623335590286;4G;;;Frauholzstrasse;Steinen Zustellung;; 6422; Schweiz; 6422
12;Gross;POINT (2722651 1271244);47.580429226152305;9.06900812430776;4G;;;Muggenwinggel;Märstetten;; 8560; Schweiz; 8560
13;Gross;POINT (2589485 1185503);46.82059413431265;7.300843248105565;4G;Käserei Heitenried; 3; Äbnet;Heitenried;; 1714; Schweiz; 1714
14;Gross;POINT (2570323 1164067);46.6271888972478;7.051133615085495;4G;;71; Rue de la Léchère;Bulle Jardins P.L.;; 1630; Schweiz; 1630
