id;power;cordinates;antenna_Location_WGS84_E;antenna_Location_WGS84_N;building;streetNumber;street;town;district;state;country;postal;type
1;Mittel;POINT (2688674 1211488);47.04849186405694;8.605623335590286;;;Frauholzstrasse;Steinen Zustellung;; 6422; Schweiz; 6422;5G
2;Sehr Klein;POINT (2666065 1214355);47.07691745412742;8.308524650440566;;A14; Milchhof;Ebikon Mall Switz.;; 6030; Schweiz; 6030;5G
3;Mittel;POINT (2722651 1271244);47.580429226152305;9.06900812430776;;;Muggenwinggel;Märstetten;; 8560; Schweiz; 8560;5G
4;Mittel;POINT (2570323 1164067);46.6271888972478;7.051133615085495;;71; Rue de la Léchère;Bulle Jardins P.L.;; 1630; Schweiz; 1630;5G
5;Klein;POINT (2613427 1262637);47.514340719360185;7.616871361846929;;27; Weidenstrasse;Münchenstein Stöck;; 4142; Schweiz; 4142;5G
6;Gross;POINT (2630451 1235678);47.2713022762742;7.841036710196624;Outletpark Murgenthal; 79; Hauptstrasse;Riken AG;; 4853; Schweiz; 4853;5G
7;Mittel;POINT (2655718 1271510);47.59191660026886;8.179392965347487;;;Krummackerweg;Leibstadt;; 5325; Schweiz; 5325;5G
8;Gross;POINT (2496384 1119697);46.22072263214226;6.0957341093531605;;3; Chemin des Coquelicots;;; 6643; Schweiz; 6643;5G
9;Mittel;POINT (2639748 1232218);47.23968808113957;7.963587754623894;;12; Bruggmatte;Mehlsecken;; 6260; Schweiz; 6260;5G
10;Mittel;POINT (2539745 1153175);46.52715091030971;6.653310632078919;;10c; Chemin de Rovéréaz;Lausanne;; 1012; Schweiz; 1012;5G
11;Mittel;POINT (2756912 1218229);47.096464682126985;9.505680429810832;ARA Wartau; 1; Araweg;Weite;; 9476; Schweiz; 9476;5G
12;Mittel;POINT (2611017 1115093);46.18721217870401;7.581336201424769;;;Route de Roua;Mission;; 3961; Schweiz; 3961;5G
13;Mittel;POINT (2736957 1260651);47.48235402873181;9.25585008850364;;;Caravan Bucher;Hauptwil;; 9213; Schweiz; 9213;5G
14;Gross;POINT (2645961 1248877);47.389118842273945;8.047346651338406;AEW Energie AG; 40; Obere Vorstadt;Aarau Postauto AG;; 5000; Schweiz; 5000;5G
15;Mittel;POINT (2762389 1251496);47.39425448564568;9.589809901335213;;;Landverband;Rebstein;; 9445; Schweiz; 9445;5G
16;Mittel;POINT (2683770 1251020);47.40466956825127;8.548450635835016;;276; Schaffhauserstrasse;Zürich;; 8057; Schweiz; 8057;5G
17;Mittel;POINT (2561097 1101925);46.06772160244409;6.935882043412124;;;Restaurant du Barrage d'Émosson;Finhaut;; 1925; Schweiz; 1925;5G
18;Gross;POINT (2615520 1173928);46.71637744880908;7.641621993113148;;2108; Weekendweg;Einigen;; 3646; Schweiz; 3646;5G
19;Mittel;POINT (2663812 1198735);46.936643130301306;8.276665355452852;;25; Industriestrasse;Alpnach Brünigstr;; 6055; Schweiz; 6055;5G
20;Mittel;POINT (2561857 1190681);46.86615740298081;6.938370807295143;;;Route du Vully;Grandcour;; 1543; Schweiz; 1543;5G
21;Mittel;POINT (2528794 1163382);46.617884713185575;6.50901499549102;;6a; Route de la Sarraz;Allens;; 1304; Schweiz; 1304;5G
22;Mittel;POINT (2683463 1248296);47.380210762287;8.543875619055614;ETH WES; 41; Weinbergstrasse;Zürich;; 8006; Schweiz; 8006;5G
23;Mittel;POINT (2597837 1202639);46.974817216364045;7.410206004530642;;;Oro Sport Thalmatt;Herrenschwanden;; 3037; Schweiz; 3037;5G
24;Mittel;POINT (2549393 1150137);46.50062402327223;6.779384062123342;;;Route du Village;Puidoux;; 1070; Schweiz; 1070;5G
25;Gross;POINT (2730395 1279452);47.65273681003993;9.17432932795543;Hochhaus Freiegg; 23; Hauptstrasse;Kreuzlingen 3;; 8280; Schweiz; 8280;5G
26;Mittel;POINT (2754159 1260726);47.479219738969434;9.48402438433046;;9; Scheffelstrasse;Rorschach Zust;; 9400; Schweiz; 9400;5G
27;Mittel;POINT (2589485 1185503);46.82059413431265;7.300843248105565;Käserei Heitenried; 3; Äbnet;Heitenried;; 1714; Schweiz; 1714;5G
28;Mittel;POINT (2648322 1246675);47.36914532275527;8.078377519283967;;64; Bernstrasse West;Suhr;; 5034; Schweiz; 5034;5G
29;Mittel;POINT (2499853 1118042);46.206362871420865;6.141040859644568;;;Temple de Saint-Gervais;Genève;; 1201; Schweiz; 1201;5G
30;Mittel;POINT (2684560 1245394);47.35397215126742;8.557852493065278;;194; Seefeldstrasse;Zürich;; 8008; Schweiz; 8008;5G
31;Mittel;POINT (2571977 1251685);47.41537423535369;7.067297790379654;;68; La Colombière;Porrentruy 1;; 2900; Schweiz; 2900;5G
32;Mittel;POINT (2720663 1126480);46.27890914294518;9.004193734502074;Centrale telefonica; 6; In Bola;Cresciano;; 6705; Schweiz; 6705;5G
33;Mittel;POINT (2502382 1117990);46.20626719826441;6.173814248923105;;5a; Plateau de Frontenex;Cologny Dist;; 1223; Schweiz; 1223;5G
34;Mittel;POINT (2716372 1094120);45.988622949956635;8.940496672871852;;;Via Calprino;Lugano 4;; 6900; Schweiz; 6900;5G
35;Mittel;POINT (2561776 1194812);46.903311435504;6.936961156061295;;;parcoursvita;Gletterens;; 1544; Schweiz; 1544;5G
36;Mittel;POINT (2635871 1123755);46.26426737399861;7.903901064000323;;;Obers Ried;Visperterminen;; 3932; Schweiz; 3932;5G
37;Gross;POINT (2596356 1200399);46.95466143968786;7.390761140904772;;;Eymattstrasse;Bern;; 3027; Schweiz; 3027;5G
38;Gross;POINT (2617577 1170571);46.68612889179624;7.66839712838839;;A6; Spiez;Spiez Zustellung;; 3700; Schweiz; 3700;5G
39;Mittel;POINT (2567350 1228990);47.2110351707968;7.007644443460084;;21; Grand'Rue;Chaux-des-Breuleux;; 2345; Schweiz; 2345;5G
40;Gross;POINT (2533170 1173470);46.709078664975735;6.56467095091721;;;Chavornay;Chavornay;; 1373; Schweiz; 1373;5G
41;Mittel;POINT (2647320 1163084);46.6173372799504;8.056405717902924;;20; Pfingsteggstrasse;Grindelwald;; 3818; Schweiz; 3818;5G
42;Gross;POINT (2610781 1117838);46.21190881799157;7.578342504273508;;;Route de Prarion;Mission;; 3961; Schweiz; 3961;5G
43;Mittel;POINT (2502266 1133655);46.34714831252968;6.169022464050716;;;Bogis-Bossey;Chavannes-de-Bogis;; 1279; Schweiz; 1279;5G
44;Mittel;POINT (2706703 1243924);47.33753998233614;8.850527954828005;;27; Bahnhofstrasse;Bäretswil;; 8344; Schweiz; 8344;5G
45;Mittel;POINT (2538548 1154834);46.54196476318328;6.637489493696511;;11; Route de la Clochatte;Lausanne;; 1018; Schweiz; 1018;5G
46;Gross;POINT (2751197 1213605);47.05621515810808;9.428882852066394;;;Valeniweg;Sargans;; 7320; Schweiz; 7320;5G
47;Gross;POINT (2737197 1254263);47.42486565126919;9.257068998581419;;;Lindenstrasse;Gossau SG Mettend.;; 9200; Schweiz; 9200;5G
