Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Gemeinde_Name;E;N;H;antenna_Location_WGS84_E;antenna_Location_WGS84_N;postal
Griesenberg, Hub;PAG;Haltestelle;Bus;Amlikon-Bissegg;2719715;1268770;559;47.55872565217896;9.02932433069972;8514
Leukerbad, Therme/Rehazentrum;LLB;Haltestelle;Bus;Leukerbad;2614423;1136296;1374;46.37788155581915;7.626103451335918;3954
Martigny, Fond. Gianadda;BUM;Haltestelle;Bus;Martigny;2571423;1105128;470;46.09705165273365;7.069132900774569;None
Rhäzüns;RhB FR VR;Haltestelle und Bedienpunkt;Zug;Rhäzüns;2749660;1185038;654;46.79967876556559;9.399263153301147;7403
Dietwil, Wannenmatt;ZVB;Haltestelle;Bus;Dietwil;2672576;1221568;408;47.14111169089218;8.395406301583362;6042
Wohlen AG, Cheiblerrain;PAG;Haltestelle;Bus;Wohlen (AG);2664493;1244402;460;47.34731888596042;8.292129274031028;None
Milken, Steinern;PAG;Haltestelle;Bus;Schwarzenburg;2593670;1181760;988;46.78697791961061;7.355737046177721;None
Schüpbach, Dorf;BLAG;Haltestelle;Bus;Signau;2622557;1197470;715;46.92794414230071;7.734817350625041;3534
Mühlethurnen, Adler;PAG;Haltestelle;Bus;Thurnen;2605190;1184952;588;46.81570226788342;7.506639801290521;None
Posat, village;TPF;Haltestelle;Bus;Gibloux;2570890;1176350;678;46.73770428183484;7.057755970257041;None
Sion, Brasserie;PAG;Haltestelle;Bus;Sion;2593975;1121066;561;46.24100422198507;7.360532730955023;None
Lavey-Village, centre;PAG;Haltestelle;Bus;Lavey-Morcles;2567462;1118813;438;46.219974128716665;7.016962298697896;None
Trub, Grundsäge;BLAG;Haltestelle;Bus;Trub;2633538;1198837;796;46.9397776110832;7.879101391500567;3556
Lutry, Flon-de-Vaux;TL;Haltestelle;Bus;Lutry;2542682;1151341;483;46.51091223679332;6.691815407488561;1095
Madetswil, Bläsimühle;PAG;Haltestelle;Bus;Russikon;2702994;1252476;616;47.41503702080147;8.803428493767758;8332
Oberwald;MGB;Haltestelle und Bedienpunkt;Zug;Obergoms;2669378;1153683;1366;46.530850057979954;8.342939725284243;None
Aubonne, Le Bornalet;PAG;Haltestelle;Bus;Aubonne;2519943;1149452;480;46.49158371813273;6.395895253746815;1170
Schneisingen, Murzlen;PAG;Haltestelle;Bus;Schneisingen;2669732;1262790;445;47.51215770250261;8.364326422486068;5425
Schaffhausen, Gemsstübli;VBSH;Haltestelle;Bus;Schaffhausen;2690316;1285415;404;47.71310622526934;8.642151156733146;8202
Grenchen, Friedhof;BGU;Haltestelle;Bus;Grenchen;2596073;1226796;470;47.19209949105517;7.386809945226905;None
Flawil, Botsberg;PAG;Haltestelle;Bus;Flawil;2730864;1253221;624;47.41678582933585;9.172852598759627;None
Mannenbach (See);URh;Haltestelle;Schiff;Salenstein;2720889;1281669;397;47.67449331403041;9.048435961440871;8268
Mollis, Kanalstrasse;PAG;Haltestelle;Bus;Glarus Nord;2723947;1217323;440;47.09530888670177;9.071316050777332;None
Meiringen;zb;Haltestelle und Bedienpunkt;Zug;Meiringen;2656996;1175396;595;46.72733006997113;8.18424658123394;None
Verschiez;TPC;Haltestelle;Zug;Ollon;2564950;1128632;565;46.30817402746623;6.983668232370273;None
Lausen, Kirchstrasse;AAGL;Haltestelle;Bus;Lausen;2624098;1258352;329;47.47549840000178;7.7583009090091;None
Gondiswil, Haltestelle;GHU;Haltestelle;Bus;Gondiswil;2633775;1219785;623;47.128190450597735;7.883772599738016;4955
Coldrerio, Colle degli Ulivi;AMSA;Haltestelle;Bus;Coldrerio;2719913;1079818;354;45.85937693271424;8.982551365184342;6877
Schiers, Palottis;PAG;Haltestelle;Bus;Schiers;2770920;1204582;640;46.970292121936495;9.684968539006048;7220
Brig, untere Bielastrasse;PAG;Haltestelle;Bus;Brig-Glis;2642936;1129731;749;46.31761029063959;7.996083448284466;None
Dongio, Industrie;ABl;Haltestelle;Bus;Acquarossa;2716893;1143738;473;46.43479300193006;8.959632653796058;6716
Pezzolo, Paese;PAG;Haltestelle;Bus;Capriasca;2718281;1103992;584;46.077078179560765;8.967610212304507;None
Davos Dorf, Bedra;PAG;Haltestelle;Bus;Davos;2786201;1186937;1698;46.80753618072926;9.87846593379965;None
Hinteregg;FB;Haltestelle;Zug;Egg;2694201;1240175;545;47.305729123778754;8.684342742961627;None
Rinderberg;BDGAG;Haltestelle;Kabinenbahn;Zweisimmen;2593823;1150801;2011;46.508487379857925;7.358161781434839;None
Bern, Güterbahnhof;PAG;Haltestelle;Bus;Bern;2598780;1200030;551;46.95135137231722;7.422606268973889;3029
Grub AR, Dorf;PAG;Haltestelle;Bus;Grub (AR);2756125;1257280;813;47.44777333225729;9.508891044397089;None
Schwarzenbach SG, Wilerstrasse;PAG;Haltestelle;Bus;Jonschwil;2723283;1255951;563;47.44279789713294;9.07317181871448;9243
Scuol, Brentsch/Tulai;PAG;Haltestelle;Bus;Scuol;2817894;1186431;1230;46.79336814262041;10.29316538637984;7550
Uetikon am See, Bergheim;VZO;Haltestelle;Bus;Uetikon am See;2694300;1236460;586;47.2723047081528;8.684871487518656;8707
Sils/Segl Maria, Fainera;SS;Haltestelle;Bus;Sils im Engadin/Segl;2778824;1145092;1804;46.433306900265805;9.765601486817172;None
Echandens, poste;MBC;Haltestelle;Bus;Echandens;2531142;1153599;412;46.53013336566369;6.541129905017069;None
Renens VD, Hôtel-de-Ville;TL;Haltestelle;Bus;Renens (VD);2534645;1154215;418;46.53602624753656;6.58669772785952;None
Mayens-de-Chamoson, Ravoire;PAG;Haltestelle;Bus;Chamoson;2580984;1117204;1109;46.206020056582;7.192267613520594;None
Wigoltingen, Dorf;PAG;Haltestelle;Bus;Wigoltingen;2719748;1273205;424;47.59859816971312;9.030958642156776;8556
Fimmelsberg, Kreuz;PAG;Haltestelle;Bus;Amlikon-Bissegg;2720136;1269128;543;47.5618678234826;9.035013568542164;8514
Bioggio;FLP;Haltestelle;Zug;Bioggio;2713874;1096684;292;46.01210883334777;8.908886215025438;6934
Epalinges, Bois-Murat;TL;Haltestelle;Bus;Epalinges;2539852;1155168;720;46.54508787125117;6.654444999507224;1066
Winterthur, Rudolfstrasse/HB;SBW;Haltestelle;Bus;Winterthur;2696750;1261834;439;47.50013897262527;8.7227319433606;8410
Vétroz, poste;PAG;Haltestelle;Bus;Vétroz;2587642;1119377;487;46.225723419075486;7.278472757050701;1963
