AccidentExpl;AccidentSeverityCategory;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;AccidentInvolvingMotorcycle;RoadType;AccidentYear;AccidentMonth;AccidentWeekDay;AccidentHour;Latidute_wgs84;Longitude_wgs84;geometry
Frontalkollision;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;1;Freitag;13;47.37576103167449;8.529004468993262;POINT (8.529005178712945 47.3757645659241)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Montag;6;47.37316152723819;8.503925137360438;POINT (8.503925643957048 47.373165120912574)
Ueberqueren der Fahrbahn;Unfall mit Sachschaden;False;True;False;Hauptstrasse;2019;1;Montag;18;47.365288334165356;8.52160134970378;POINT (8.52160192193798 47.365291925387226)
Abbiegeunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;1;Dienstag;7;47.375884060000146;8.527404694262325;POINT (8.527405393613893 47.37588759703529)
Ueberqueren der Fahrbahn;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Dienstag;19;47.37601200739336;8.5357498361656;POINT (8.535750595656754 47.37601552659177)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;1;Mittwoch;17;47.374544424635104;8.533998213469182;POINT (8.533998948288165 47.37454795343767)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Freitag;11;47.37208234249303;8.523235569248875;POINT (8.523236207566665 47.37208590320531)
Ueberqueren der Fahrbahn;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;1;Samstag;14;47.42428151898321;8.54311909201438;POINT (8.543120355132455 47.424284829335576)
Einbiegeunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;1;Montag;22;47.41472462768158;8.55105759198651;POINT (8.551058819086975 47.41472795720516)
Fussgaengerunfall;Unfall mit Leichtverletzten;True;True;False;Hauptstrasse;2019;1;Mittwoch;15;47.336515550772546;8.518410646956097;POINT (8.518410983059107 47.33651926449954)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Mittwoch;18;47.38086837421616;8.53490948852637;POINT (8.534910283542432 47.38087187559988)
Ueberqueren der Fahrbahn;Unfall mit Schwerverletzten;False;True;False;Hauptstrasse;2019;1;Donnerstag;17;47.39680416792342;8.540960070092336;POINT (8.540961050709022 47.39680759219643)
Schleuder- oder Selbstunfall;Unfall mit Schwerverletzten;False;True;False;andere;2019;1;Freitag;7;47.380094928530774;8.508990081570905;POINT (8.508990681266305 47.38009848532661)
Abbiegeunfall;Unfall mit Sachschaden;False;True;False;Hauptstrasse;2019;1;Freitag;16;47.384187343553464;8.497311505452664;POINT (8.497312049914475 47.384190906318224)
Abbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Samstag;18;47.40927388256772;8.545405135381868;POINT (8.545406266727129 47.409277246990875)
Abbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;1;Montag;11;47.370321860474796;8.514302037640812;POINT (8.514302597712769 47.37032544576078)
Abbiegeunfall;Unfall mit Sachschaden;False;True;False;Nebenstrasse;2019;1;Montag;18;47.380986573574624;8.492228759022229;POINT (8.492229238849857 47.38099015801612)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Dienstag;14;47.391502975861144;8.528001862624258;POINT (8.528002700273374 47.39150644928886)
Einbiegeunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Mittwoch;13;47.41036452470783;8.539517984842968;POINT (8.539519082616335 47.41036789821589)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Nebenstrasse;2019;1;Donnerstag;9;47.37586856344266;8.559132459611131;POINT (8.559133378187731 47.37587203194563)
Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;False;True;False;Hauptstrasse;2019;1;Samstag;13;47.364462959421815;8.566492206186528;POINT (8.566493073542684 47.364466458442195)
